TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"11-10513-2026","2026-03-10 12:07:35","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Building","Villa","4900000","224","224","4 B/R","","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","",""
"11-10515-2026","2026-03-10 11:56:25","Sales","Sale","Ready","Free Hold","Residential","EMAAR SOUTH","Building","Villa","3350000","324.95","324.95","4 B/R","","","","Al Makhtoum International Airport","0","0","","Parkside 3"
"11-10519-2026","2026-03-10 12:03:43","Sales","Sale","Ready","Free Hold","Residential","THE FIELD","Building","Villa","4575000","288.04","288.04","4 B/R","","","","IMG World Adventures","0","0","","THE FIELDS AT D11 - MBRMC"
"11-10527-2026","2026-03-10 12:09:46","Sales","Sale","Ready","Free Hold","Residential","Al Yufrah 1","Building","Villa","2725000","174","174","3 B/R","","","","","0","0","","The Valley - Orania"
"11-10533-2026","2026-03-10 12:27:01","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","3575000","186.33","186.33","2 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 15"
"11-10538-2026","2026-03-10 12:32:03","Sales","Sale","Ready","Free Hold","Residential","MIRA","Building","Villa","3680000","278.4","278.4","3 B/R","","","","Dubai Cycling Course","0","0","","REEM-MIRA COMMUNITY PH 3"
"11-10545-2026","2026-03-10 12:22:34","Sales","Sale","Ready","Free Hold","Residential","Wadi Al Safa 3","Building","Villa","10200000","179.75","179.75","4 B/R","","","","","0","0","","ALBARARI IXORA VILLAS"
"11-10582-2026","2026-03-10 15:11:53","Sales","Sale","Ready","Free Hold","Residential","MOTOR CITY","Building","Villa","7075000","400","400","3 B/R","","Dubai Internet City","Mall of the Emirates","Motor City","0","0","",""
"11-10610-2026","2026-03-11 10:19:00","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Building","Villa","4950000","222.6","222.6","4 B/R","","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","",""
"11-10614-2026","2026-03-11 10:08:41","Sales","Sale","Ready","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Building","Villa","3100000","131.04","131.04","2 B/R","","","","","0","0","","MAG EYE Phase 1"
"11-10619-2026","2026-03-11 10:25:06","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Building","Villa","3650000","158.84","158.84","4 B/R","","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","",""
"11-10620-2026","2026-03-11 10:38:32","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","4050000","243.7","243.7","2 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 4"
"11-10625-2026","2026-03-11 10:33:35","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Building","Villa","3250000","175.42","175.42","3 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","",""
"11-10627-2026","2026-03-11 11:57:05","Sales","Sale","Ready","Free Hold","Residential","VILLANOVA","Building","Villa","2650000","161.64","161.64","3 B/R","","","","IMG World Adventures","0","0","","AMARANTA 2 "
"11-10633-2026","2026-03-11 10:47:03","Sales","Sale","Ready","Free Hold","Residential","TILAL AL GHAF","Building","Villa","4525000","201.93","201.93","4 B/R","","","","","0","0","","Elan"
"11-10641-2026","2026-03-11 11:31:49","Sales","Sale","Ready","Free Hold","Residential","EMAAR SOUTH","Building","Villa","3300000","262.22","262.22","4 B/R","","","","Al Makhtoum International Airport","0","0","","Greenview"
"11-10649-2026","2026-03-11 11:28:31","Sales","Sale","Ready","Free Hold","Residential","THE VALLEY","Building","Villa","3200000","174","174","3 B/R","","","","","0","0","","The Valley-Nara"
"11-10660-2026","2026-03-11 12:07:08","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3500000","171.06","171.06","3 B/R","","","","","0","0","","Mudon Al Ranim 3"
"11-10671-2026","2026-03-11 12:17:05","Sales","Sale","Ready","Free Hold","Residential","MIRA","Building","Villa","3500000","244.59","244.59","3 B/R","","","","Dubai Cycling Course","0","0","","REEM-MIRA COMMUNITY PH 3"
"11-10673-2026","2026-03-11 12:07:08","Sales","Sale","Ready","Free Hold","Residential","Al Yufrah 1","Building","Villa","2775000","174","174","3 B/R","","","","","0","0","","The Valley - Orania"
"11-10674-2026","2026-03-11 12:09:16","Sales","Sale","Ready","Free Hold","Residential","EMAAR SOUTH","Building","Villa","2750000","137.76","137.76","3 B/R","","","","Al Makhtoum International Airport","0","0","","Greenview"
"11-10678-2026","2026-03-11 12:14:50","Sales","Sale","Ready","Free Hold","Residential","MOTOR CITY","Building","Villa","13250000","1000.78","1000.78","4 B/R","","Dubai Internet City","Mall of the Emirates","Motor City","0","0","",""
"11-10688-2026","2026-03-11 12:37:34","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Building","Villa","5400000","202.11","202.11","4 B/R","","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","MAPLE"
"11-10692-2026","2026-03-11 12:46:43","Sales","Sale","Ready","Free Hold","Residential","EMAAR SOUTH","Building","Villa","2250000","141.04","141.04","3 B/R","","","","Al Makhtoum International Airport","0","0","","Parkside 3"
"11-10725-2026","2026-03-11 14:44:30","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","6200000","255.13","255.13","3 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 14"
"11-10752-2026","2026-03-12 09:48:32","Sales","Sale","Ready","Free Hold","Residential","MIRA","Building","Villa","3680000","278.38","278.38","3 B/R","","","","Dubai Cycling Course","0","0","","REEM-MIRA COMMUNITY PH 3"
"11-10756-2026","2026-03-12 09:55:57","Sales","Sale","Ready","Free Hold","Residential","SUSTAINABLE CITY","Building","Villa","5200000","216.99","216.99","4 B/R","","","","Motor City","0","0","","THE SUSTAINABLE CITY"
"11-10761-2026","2026-03-12 12:01:56","Sales","Sale","Ready","Free Hold","Residential","Al Yufrah 1","Building","Villa","3600000","257.52","257.52","4 B/R","","","","","0","0","","The Valley - Talia"
"11-10762-2026","2026-03-12 10:00:43","Sales","Sale","Ready","Free Hold","Residential","SERENA","Building","Villa","2500000","174.75","174.75","2 B/R","","","","Hamdan Sports Complex","0","0","","SERENA BELLA CASA"
"11-10767-2026","2026-03-12 11:04:02","Sales","Sale","Ready","Free Hold","Residential","THE VALLEY","Building","Villa","2800000","176.9","176.9","3 B/R","","","","","0","0","","The Valley-Nara"
"11-10769-2026","2026-03-12 10:54:53","Sales","Sale","Ready","Free Hold","Residential","RUKAN","Building","Villa","2825000","176.01","176.01","3 B/R","","","","","0","0","","Rukan2"
"11-10780-2026","2026-03-12 11:45:54","Sales","Sale","Ready","Free Hold","Residential","VILLANOVA","Building","Villa","2400000","161","161","2 B/R","","","","IMG World Adventures","0","0","","Villanova Amaranta B"
"11-10801-2026","2026-03-12 11:38:50","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Building","Villa","6250000","287.82","287.82","5 B/R","","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","MAPLE"
"11-10802-2026","2026-03-12 11:31:12","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","5500000","388.94","388.94","3 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 5"
"11-10812-2026","2026-03-12 12:57:13","Sales","Sale","Ready","Free Hold","Residential","EMAAR SOUTH","Building","Villa","3000000","231.04","231.04","4 B/R","","","","Al Makhtoum International Airport","0","0","","Parkside 2"
"11-10834-2026","2026-03-12 12:51:53","Sales","Sale","Ready","Free Hold","Residential","ARABIAN RANCHES III","Building","Villa","2975000","128.58","128.58","3 B/R","","","","Hamdan Sports Complex","0","0","","Arabian Ranches III - JOY"
"11-10886-2026","2026-03-12 15:38:24","Sales","Sale","Ready","Free Hold","Residential","TOWN SQUARE","Building","Villa","3525000","268.38","268.38","4 B/R","","","","","0","0","","NOOR TOWNHOUSES"
"11-10889-2026","2026-03-12 15:48:22","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","5850000","365.29","365.29","3 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 15"
"11-10891-2026","2026-03-12 16:22:50","Sales","Sale","Ready","Free Hold","Residential","TILAL AL GHAF","Building","Villa","4300000","144.53","144.53","3 B/R","","","","","0","0","","Elan"
"11-10894-2026","2026-03-13 09:09:22","Sales","Sale","Ready","Free Hold","Residential","ARABIAN RANCHES I","Building","Villa","4850000","255.18","255.18","3 B/R","","","","Global Village","0","0","",""
"11-10898-2026","2026-03-13 09:00:37","Sales","Sale","Ready","Free Hold","Residential","EMAAR SOUTH","Building","Villa","2270000","129.71","129.71","3 B/R","","","","Al Makhtoum International Airport","0","0","","Parkside"
"11-10908-2026","2026-03-13 09:45:43","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH PARK","Building","Villa","6200000","334.26","334.26","4 B/R","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","","ROYAL PARK"
"11-10916-2026","2026-03-13 10:26:09","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH GOLF","Building","Villa","4995000","151.84","151.84","3 B/R","","Damac Properties","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","","JASMINE LANE"
"11-10919-2026","2026-03-13 10:23:02","Sales","Sale","Ready","Free Hold","Residential","TILAL AL GHAF","Building","Villa","3900000","202.69","202.69","4 B/R","","","","","0","0","","Elan"
"11-10922-2026","2026-03-13 10:32:55","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","7375000","463.41","463.41","3 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 7"
"11-10925-2026","2026-03-13 10:25:29","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","4450000","250.05","250.05","2 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 15"
"11-10936-2026","2026-03-16 11:51:13","Sales","Sale","Ready","Free Hold","Residential","MIRA","Building","Villa","4100000","300","300","4 B/R","","","","Dubai Cycling Course","0","0","","REEM-MIRA COMMUNITY PH 3"
"11-10938-2026","2026-03-13 10:41:15","Sales","Sale","Ready","Free Hold","Residential","Al Yufrah 1","Building","Villa","3000000","174","174","3 B/R","","","","","0","0","","The Valley - Talia"
"11-10939-2026","2026-03-13 11:20:19","Sales","Sale","Ready","Free Hold","Residential","Al Yelayiss 2","Building","Villa","3750000","259.83","259.83","4 B/R","","","","","0","0","","SHAMS TOWNHOUSES"
"11-10943-2026","2026-03-13 10:36:38","Sales","Sale","Ready","Free Hold","Residential","ARABIAN RANCHES II","Building","Villa","4000000","228","228","4 B/R","","","","Motor City","0","0","","AR II Camelia"
"11-10965-2026","2026-03-13 11:09:29","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","4250000","259.79","259.79","2 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 15"
"11-10976-2026","2026-03-13 11:31:45","Sales","Sale","Ready","Free Hold","Residential","TOWN SQUARE","Building","Villa","3350000","207.63","207.63","4 B/R","","","","Dubai Cycling Course","0","0","","SAFI TOWNHOUSES"
"11-10980-2026","2026-03-13 11:30:04","Sales","Sale","Ready","Free Hold","Residential","EMAAR SOUTH","Building","Villa","3100000","248.18","248.18","4 B/R","","","","Al Makhtoum International Airport","0","0","","Parkside 3"
"11-10993-2026","2026-03-13 11:51:20","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Fourth","Building","Villa","4600000","142.74","142.74","3 B/R","","","","","0","0","","Aura"
"11-11010-2026","2026-03-13 15:04:38","Sales","Sale","Ready","Free Hold","Residential","THE FIELD","Building","Villa","4950000","389.94","389.94","4 B/R","","","","IMG World Adventures","0","0","","THE FIELDS AT D11 - MBRMC"
"11-11053-2026","2026-03-16 10:04:42","Sales","Sale","Ready","Free Hold","Residential","THE FIELD","Building","Villa","3250000","187.2","187.2","3 B/R","","","","IMG World Adventures","0","0","","THE FIELDS AT D11 - MBRMC"
"11-11063-2026","2026-03-16 10:42:23","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Building","Villa","4600000","224","224","4 B/R","","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","",""
"11-11098-2026","2026-03-16 12:20:56","Sales","Sale","Ready","Free Hold","Residential","TILAL AL GHAF","Building","Villa","4180624","140.42","140.42","3 B/R","","","","","0","0","","Elan"
"11-11102-2026","2026-03-16 11:36:04","Sales","Sale","Ready","Free Hold","Residential","VILLANOVA","Building","Villa","3250000","230","230","4 B/R","","","","IMG World Adventures","0","0","","Villanova Amaranta B"
"11-11123-2026","2026-03-16 13:45:53","Sales","Sale","Ready","Free Hold","Residential","Al Yufrah 1","Building","Villa","3800000","257.47","257.47","4 B/R","","","","","0","0","","The Valley - Orania"
"11-11126-2026","2026-03-16 12:59:48","Sales","Sale","Ready","Free Hold","Residential","MIRA","Building","Villa","3900000","397.34","397.34","3 B/R","","","","Dubai Cycling Course","0","0","","REEM - MIRA OASIS COMMUNITY PHASE 2"
"11-11141-2026","2026-03-16 13:48:57","Sales","Sale","Ready","Free Hold","Residential","Nad Al Shiba First","Building","Villa","5000000","341.39","341.39","3 B/R","","","","","0","0","","Nad Al Sheba Gardens Phase 2 "
"11-11155-2026","2026-03-16 13:48:13","Sales","Sale","Ready","Free Hold","Residential","VILLANOVA","Building","Villa","3730000","230","230","4 B/R","","","","IMG World Adventures","0","0","","La Rosa 5"
"11-11181-2026","2026-03-16 15:33:07","Sales","Sale","Ready","Free Hold","Residential","VILLANOVA","Building","Villa","2500000","161.01","161.01","2 B/R","","","","IMG World Adventures","0","0","","Villanova Amaranta "
"11-11192-2026","2026-03-17 09:51:20","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3500000","171.26","171.26","3 B/R","","","","","0","0","","Mudon Al Ranim 3"
"11-11194-2026","2026-03-17 09:36:49","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH GOLF","Building","Villa","4750000","151.81","151.81","3 B/R","","Damac Properties","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","","JASMINE LANE"
"11-11196-2026","2026-03-17 10:02:54","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Building","Villa","3394500","170","170","3 B/R","","ENERGY Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","",""
"11-11197-2026","2026-03-17 10:24:30","Sales","Sale","Ready","Free Hold","Residential","SERENA","Building","Villa","2950000","186.3","186.3","3 B/R","","","","Hamdan Sports Complex","0","0","","Serena Casa Dora"
"11-11210-2026","2026-03-17 10:23:03","Sales","Sale","Ready","Free Hold","Residential","VILLANOVA","Building","Villa","2450000","161","161","2 B/R","","","","IMG World Adventures","0","0","","Villanova Amaranta B"
"11-11214-2026","2026-03-17 11:13:28","Sales","Sale","Ready","Free Hold","Residential","Al Yelayiss 2","Building","Villa","3050000","176.9","176.9","3 B/R","","","","","0","0","","MAHA TOWNHOUSES "
"11-11217-2026","2026-03-17 10:39:28","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Building","Villa","3800000","169.42","169.42","3 B/R","","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","",""
"11-11226-2026","2026-03-17 10:56:42","Sales","Sale","Ready","Free Hold","Residential","Madinat Al Mataar","Building","Villa","4350000","352.41","352.41","4 B/R","","","","","0","0","","The Pulse Beachfront 3 "
"11-11235-2026","2026-03-17 14:47:27","Sales","Sale","Ready","Free Hold","Residential","THE FIELD","Building","Villa","3750000","187.22","187.22","4 B/R","","","","IMG World Adventures","0","0","","THE FIELDS AT D11 - MBRMC"
"11-11249-2026","2026-03-17 12:51:17","Sales","Sale","Ready","Free Hold","Residential","Al Yufrah 1","Building","Villa","2900000","174","174","3 B/R","","","","","0","0","","The Valley - Talia"
"11-11250-2026","2026-03-17 13:04:04","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Building","Villa","4950000","155.12","155.12","4 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","",""
"11-11269-2026","2026-03-17 13:41:21","Sales","Sale","Ready","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","4950000","389.93","389.93","4 B/R","","","","","0","0","","Arabian Ranches lll - June"
"11-11272-2026","2026-03-18 15:32:42","Sales","Sale","Ready","Free Hold","Residential","THE VALLEY","Building","Villa","3700000","257.49","257.49","4 B/R","","","","","0","0","","The Valley-Nara"
"11-11277-2026","2026-03-17 13:39:58","Sales","Sale","Ready","Free Hold","Residential","Al Yufrah 1","Building","Villa","2750000","174","174","3 B/R","","","","","0","0","","The Valley - Orania"
"11-11292-2026","2026-03-17 14:29:43","Sales","Sale","Ready","Free Hold","Residential","MBR DISTRICT 7","Building","Villa","4100000","135.68","135.68","3 B/R","","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","0","0","","MAG EYE Phase 1"
"11-11296-2026","2026-03-17 15:35:27","Sales","Sale","Ready","Free Hold","Residential","MOTOR CITY","Building","Villa","14800000","797.46","797.46","4 B/R","","Dubai Internet City","Mall of the Emirates","Motor City","0","0","",""
"11-11299-2026","2026-03-17 15:39:03","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","3550000","186.03","186.03","2 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 12"
"11-11313-2026","2026-03-18 09:41:08","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3450000","168.57","168.57","3 B/R","","","","","0","0","","Mudon Al Ranim 2"
"11-11316-2026","2026-03-18 09:45:20","Sales","Sale","Ready","Free Hold","Residential","EMAAR SOUTH","Building","Villa","2450000","144.7","144.7","3 B/R","","","","Al Makhtoum International Airport","0","0","","Parkside"
"11-11318-2026","2026-03-18 09:38:40","Sales","Sale","Ready","Free Hold","Residential","Al Yufrah 1","Building","Villa","2900000","174.79","174.79","3 B/R","","","","","0","0","","The Valley - Talia"
"11-11326-2026","2026-03-18 09:57:46","Sales","Sale","Ready","Free Hold","Residential","Island 2","Building","Villa","24000000","241.12","241.12","3 B/R","","Business Bay Metro Station","Dubai Mall","Burj Khalifa","0","0","","Villa Amalfi"
"11-11329-2026","2026-03-18 10:22:51","Sales","Sale","Ready","Free Hold","Residential","Al Yelayiss 2","Building","Villa","3050000","205.96","205.96","3 B/R","","","","","0","0","","REEM TOWNHOUSES"
"11-11331-2026","2026-03-18 10:17:23","Sales","Sale","Ready","Free Hold","Residential","VILLANOVA","Building","Villa","2850000","167.59","167.59","3 B/R","","","","IMG World Adventures","0","0","","Villanova Amaranta 3"
"11-11332-2026","2026-03-18 10:29:22","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","3725000","300.01","300.01","2 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 10"
"11-11357-2026","2026-03-18 11:21:50","Sales","Sale","Ready","Free Hold","Residential","MIRA","Building","Villa","3100000","201.6","201.6","3 B/R","","","","Dubai Cycling Course","0","0","","REEM-MIRA COMMUNITY PH 1"
"11-11375-2026","2026-03-18 12:06:50","Sales","Sale","Ready","Free Hold","Residential","Al Yelayiss 2","Building","Villa","3600000","261.64","261.64","4 B/R","","","","","0","0","","MAHA TOWNHOUSES "
"11-11376-2026","2026-03-18 11:55:01","Sales","Sale","Ready","Free Hold","Residential","TILAL AL GHAF","Building","Villa","3850000","140.43","140.43","3 B/R","","","","","0","0","","Elan"
"11-11377-2026","2026-03-18 12:07:50","Sales","Sale","Ready","Free Hold","Residential","Al Yufrah 1","Building","Villa","2900000","174","174","3 B/R","","","","","0","0","","The Valley - Orania"
"11-11413-2026","2026-03-18 14:44:41","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","3700000","172.48","172.48","2 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 11"
"11-40082-2025","2026-03-18 13:11:37","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Building","Villa","5000000","235.48","235.48","4 B/R","","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","ROYAL PARK SOUTH 1"
"11-4468-2026","2026-02-06 00:29:00","Sales","Sale","Ready","Free Hold","Residential","Al Yelayiss 2","Building","Villa","2400000","223.72","223.72","3 B/R","","","","","0","0","","REEM TOWNHOUSES"
"11-4554-2026","2026-02-04 10:06:52","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Building","Villa","2700000","132.53","132.53","4 B/R","","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","SEASONS COMMUNITY- AUTUMN"
"11-4561-2026","2026-02-02 08:43:26","Sales","Sale","Ready","Free Hold","Residential","ARABIAN RANCHES I","Building","Villa","7100000","452.03","452.03","3 B/R","","","","Global Village","0","0","",""
"11-4565-2026","2026-02-02 09:00:53","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Building","Villa","3050000","140.42","140.42","3 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","SEASONS COMMUNITY- AUTUMN"
"11-4566-2026","2026-02-02 09:08:32","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Building","Villa","4600000","221.2","221.2","3 B/R","","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","",""
"11-4568-2026","2026-02-02 11:02:13","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Building","Villa","4900000","28.38","278.4","4 B/R","","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","ROYAL PARK SOUTH 1"
"11-4589-2026","2026-02-02 11:24:18","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","4350000","196.81","196.81","2 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 1"
"11-4604-2026","2026-02-02 14:22:07","Sales","Sale","Ready","Free Hold","Residential","VILLANOVA","Building","Villa","3765000","242.34","242.34","4 B/R","","","","IMG World Adventures","0","0","","La Violeta 2"
"11-4627-2026","2026-02-02 10:45:30","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Building","Villa","5900000","285.36","285.36","4 B/R","","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Global Village","0","0","","Maple III"
"11-4650-2026","2026-02-02 11:17:53","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","4950000","292.87","292.87","3 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 4"
"11-4673-2026","2026-02-02 11:51:01","Sales","Sale","Ready","Free Hold","Residential","MIRA","Building","Villa","4200000","264","264","4 B/R","","","","Dubai Cycling Course","0","0","","REEM-MIRA COMMUNITY PH 3"
"11-4674-2026","2026-02-02 12:27:06","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3700000","168.2","168.2","3 B/R","","","","","0","0","","Mudon Al Ranim 3"
"11-4679-2026","2026-02-02 12:30:39","Sales","Sale","Ready","Free Hold","Residential","TOWN SQUARE","Building","Villa","2760000","205.51","205.51","3 B/R","","","","Dubai Cycling Course","0","0","","TOWN SQUARE ZAHRA"
